32,1,12,1,0,85000,720,0
45,0,35,4,1,62000,680,0
28,1,33,3,1,25000,590,1
51,0,16,1,0,105000,780,0
36,1,0,1,0,75000,710,0
24,0,19,0,1,48000,640,1
42,1,15,2,0,120000,790,0
29,0,3,1,1,38000,620,1
37,1,14,4,0,92000,750,0
48,0,9,2,0,180000,820,0
55,1,6,4,0,110000,770,0
31,0,1,1,1,68000,690,0
26,1,30,3,1,42000,610,1
39,0,17,1,0,78000,730,0
44,1,2,4,0,95000,760,0
27,0,8,1,1,52000,650,1
34,1,12,1,0,88000,740,0
41,0,20,2,0,125000,800,0
30,1,28,4,1,72000,700,0
53,0,23,2,0,98000,790,0
38,1,22,1,0,80000,720,0
25,0,27,3,1,35000,580,1
46,1,4,4,0,115000,780,0
33,0,37,1,1,45000,630,1
40,1,5,0,0,60000,690,0
28,0,36,2,1,75000,710,0
35,1,29,1,0,70000,700,0
43,0,13,4,0,90000,750,0
31,1,11,3,1,55000,670,0
49,0,26,1,0,65000,720,0
27,1,21,0,1,40000,600,1
54,0,10,4,0,85000,760,0
32,1,24,1,0,95000,780,0
47,0,7,2,0,140000,810,0
29,1,18,1,1,30000,570,1
52,0,25,2,0,110000,800,0
35,1,12,4,0,100000,770,0
26,0,31,3,1,28000,560,1
40,1,32,1,0,85000,740,0
33,0,34,0,1,42000,620,1
38,1,0,1,0,82000,730,0
30,0,35,4,1,58000,670,0
45,1,16,1,0,110000,790,0
28,0,19,0,1,50000,660,1
42,1,15,2,0,130000,800,0
36,0,12,4,0,90000,740,0
31,1,1,1,1,65000,680,0
48,0,9,2,0,175000,830,0
34,1,14,1,0,78000,720,0
27,0,3,1,1,35000,600,1
41,1,6,4,0,105000,760,0
29,0,8,1,1,48000,640,1
37,1,12,1,0,92000,750,0
44,0,17,4,0,85000,740,0
32,1,30,3,1,45000,630,1
50,0,23,2,0,120000,810,0
39,1,2,4,0,100000,770,0
25,0,27,3,1,32000,570,1
43,1,4,1,0,95000,760,0
30,0,37,4,1,55000,650,0
38,1,5,0,0,65000,700,0
